,Rms,Occ,ADR,V1_Food_Amt,V2_Food_Amt,V3_Food_Amt,V4_Food_Amt,V5_Food_Amount,V6_Food_Amount,V7_Food_Amt,V8_Food_Amt,BC_Food_Amount
2022-01-01,2346,22.6,206.61,32892,43418,15651,0,0,1933,1132,0,158749
2022-02-01,2882,30.7,227.71,59334,54142,30849,0,0,1832,24039,4197,93428
2022-03-01,4755,45.8,258.37,80379,162710,50660,11012,10053,6538,12097,15639,276694
2022-04-01,4216,42.0,288.55,127933,69808,56504,16564,12953,7410,14228,14676,185795
2022-05-01,5359,51.6,295.95,127454,143944,69528,24940,20028,5573,9191,25501,257015
2022-06-01,7396,73.6,291.47,118708,248406,86643,41157,27636,5569,30492,21695,446979
2022-07-01,8631,83.1,346.15,170409,319692,145546,56226,44676,5762,13896,39720,171302
2022-08-01,6254,60.2,285.3,108896,184765,80091,30740,25556,5502,54852,24521,332870
2022-09-01,4709,46.9,282.57,71079,142417,57210,17273,13628,5921,39789,28617,232813
2022-10-01,5476,52.7,247.58,72582,218369,53934,6288,6192,7372,31118,16519,447234
2022-11-01,4342,43.2,205.67,38154,75132,56124,0,0,2399,26206,8947,267558
2022-12-01,3495,33.7,189.13,40080,69114,35788,0,0,2546,21852,986,405076
2023-01-01,2256,21.7,199.79,24568,59356,24962,0,0,2924,13511,4406,149934
2023-02-01,2655,28.3,203.76,27978,50449,27110,0,0,2249,609,2474,228870
2023-03-01,5475,52.7,273.99,98657.90499245684,173795.11551995482,72255.94687853345,23041.837680046552,18038.105506730088,5248.653671909035,23252.749759458908,20392.50200361964,276155.9158946302
