Period,Rms,Occ,ADR,V1_Food_Amt,V2_Food_Amt,V3_Food_Amt,V4_Food_Amt,V5_Food_Amount,V6_Food_Amount,V7_Food_Amt,V8_Food_Amt,BC_Food_Amount
2022-01,"2,346",22.6,206.61,"32,892","43,418","15,651",0,0,"1,933","1,132",0,"158,749"
2022-02,"2,882",30.7,227.71,"59,334","54,142","30,849",0,0,"1,832","24,039","4,197","93,428"
2022-03,"4,755",45.8,258.37,"80,379","162,710","50,660","11,012","10,053","6,538","12,097","15,639","276,694"
2022-04,"4,216",42.0,288.55,"127,933","69,808","56,504","16,564","12,953","7,410","14,228","14,676","185,795"
2022-05,"5,359",51.6,295.95,"127,454","143,944","69,528","24,940","20,028","5,573","9,191","25,501","257,015"
2022-06,"7,396",73.6,291.47,"118,708","248,406","86,643","41,157","27,636","5,569","30,492","21,695","446,979"
2022-07,"8,631",83.1,346.15,"170,409","319,692","145,546","56,226","44,676","5,762","13,896","39,720","171,302"
2022-08,"6,254",60.2,285.30,"108,896","184,765","80,091","30,740","25,556","5,502","54,852","24,521","332,870"
2022-09,"4,709",46.9,282.57,"71,079","142,417","57,210","17,273","13,628","5,921","39,789","28,617","232,813"
2022-10,"5,476",52.7,247.58,"72,582","218,369","53,934","6,288","6,192","7,372","31,118","16,519","447,234"
2022-11,"4,342",43.2,205.67,"38,154","75,132","56,124",0,0,"2,399","26,206","8,947","267,558"
2022-12,"3,495",33.7,189.13,"40,080","69,114","35,788",0,0,"2,546","21,852",986,"405,076"
2023-01,2256,21.7,199.79,24568,59356,"24,962",0,0,2924,13511,"4,406",149934
2023-02,2655,28.3,203.76,27978,50449,"27,110",0,0,2249,609,"2,474",228870
